Année scolaire 2025-2026,,,,,,,,,,,,
,,,,Emploi  du  temps  CJN 1,,,,,,,,
Version du 14/11 PM,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,08h30-09h30,09h30-10h30,10h30-11h30,11h30-12h30,12h30-13h30,13h30-14h30,14h30-15h30,15h30-16h30,16h30-17h30
Lun.,15,Sept.,2025,,RÉUNION DE RENTRÉE (9h30-12h30),,,,Dossiers personnes - P.RAMON ,,,
Mar.,16,Sept.,2025,Dossiers personnes - P.RAMON ,,,,,Environnement de l'activité notariale - P.RAMON,,,
Lun.,22,Sept.,2025,E2 - Anglais - J. CERNIS,,,,,Dossiers personnes - P.RAMON ,,,
Mar.,23,Sept.,2025,Dossier Biens - V. LESPINASSE ,,,,,E1 - Culture générale et expression - L. GIRAUD,,,
Lun.,29,Sept.,2025,,,,,,Dossiers personnes - P.RAMON ,,,
Mar.,30,Sept.,2025,Dossier Biens - V. LESPINASSE ,,,,,,,,
Lun.,6,Oct.,2025,Dossier Biens - V. LESPINASSE ,,,,,Dossiers personnes - P.RAMON ,,,
Mar.,7,Oct.,2025,Dossiers personnes - P.RAMON ,,,,,Environnement de l'activité notariale - P.RAMON,,,
Lun.,13,Oct.,2025,,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h -17h),,
Mar.,14,Oct.,2025,Dossier Biens - V. LESPINASSE ,,,,,,,,
Mer.,15,Oct.,2025,JOURNÉE D'INTÉGRATION 1ÈRE / 3ÈME ANNÉE,,,,,,,,
Lun.,20,Oct.,2025,E2 - Anglais - J. CERNIS,,,,,,,,
Mar.,21,Oct.,2025,Dossier Biens - V. LESPINASSE ,,,,,,,,
Lun.,27,Oct.,2025,Dossiers personnes - P.RAMON ,,,,,,,,
Mar.,28,Oct.,2025,Dossier Biens - V. LESPINASSE ,,,,,E1 - Culture générale et expression - L. GIRAUD,,,
Lun.,3,Nov.,2024,Fondamentaux du droit - A-S. GUILLON VIRELY ,,,,,Dossiers personnes - P.RAMON ,,,
Mar.,4,Nov.,2025,Fondamentaux du droit - A-S. GUILLON VIRELY ,,,,,,,,
Lun.,10,Nov.,2025,Dossiers personnes - P.RAMON ,,,,,Déontologie - J. PIERONNE,,,
Mar.,11,Nov.,2025,FÉRIÉ / ENTREPRISE,,,,,,,,
Lun.,17,Nov.,2025,Fondamentaux du droit - A-S. GUILLON VIRELY ,,,,,E2 - Anglais - J. CERNIS,,,
Mar.,18,Nov.,2025,Dossier Biens - V. LESPINASSE ,,,,,Dossiers personnes - P.RAMON ,,,
Mer.,19,Nov.,2025,MASTERCLASS,,,,,,,,
Lun.,24,Nov.,2025,Fondamentaux du droit - A-S. GUILLON VIRELY ,,,,,Dossiers personnes - P.RAMON ,,,
Mar.,25,Nov.,2025,Fondamentaux du droit - A-S. GUILLON VIRELY ,,,,,Environnement de l'activité notariale - P.RAMON,,,
Lun.,1,Déc.,2025,Dossier Biens - V. LESPINASSE ,,,,,Dossiers personnes - P.RAMON ,,,
Mar.,2,Déc.,2025,Dossiers personnes - P.RAMON ,,,,,E1 - Culture générale et expression - L. GIRAUD,,,
Mer.,3,Déc.,2025,ATELIERS,,,,,,,,
Lun.,8,Déc.,2025,Fondamentaux du droit - A-S. GUILLON VIRELY ,,,,,Déontologie - J. PIERONNE,,,
Mar.,9,Déc.,2025,Fondamentaux du droit - A-S. GUILLON VIRELY ,,,,,Dossiers personnes - P.RAMON ,,,
Lun.,15,Déc.,2025,Dossiers personnes - P.RAMON ,,,,,Déontologie - J. PIERONNE,,,
Mar.,16,Déc.,2025,Fondamentaux du droit - A-S. GUILLON VIRELY ,,,,,Dossiers personnes - P.RAMON ,,,
Lun.,5,Janv.,2026,,,,,,Environnement de l'activité notariale - P.RAMON (visio),,,
Mar.,6,Janv.,2026,E1 - Culture générale et expression - L. GIRAUD,,,,,Dossiers personnes - P.RAMON ,,,
Lun.,12,Janv.,2026,E2 - Anglais - J. CERNIS,,,,,Déontologie - J. PIERONNE,,,
Mar.,13,Janv.,2026,Dossier Biens - V. LESPINASSE ,,,,,Dossiers personnes - P.RAMON ,,,
Lun.,19,Janv.,2026,ÉCRIT E8 - CDDB - V. LESPINASSE (4H),,,,,ÉCRIT E1 - CULTURE GÉNÉRALE ET EXP. - L. GIRAUD  (3H),,,
Mar.,20,Janv.,2026,ÉCRIT E7 - CDDP - P. RAMON (4H),,,,,ÉCRIT E4 - EFD - AS GUILLON-VIRELY (3H),,,
Mer.,21,Janv.,2026,BTS BLANC S1,,,,,BTS BLANC S1,,,
Jeu.,22,Janv.,2026,BTS BLANC S1,,,,,BTS BLANC S1,,,
Lun.,26,Janv.,2026,E2 - Anglais - J. CERNIS,,,,,Dossiers personnes - P.RAMON ,,,
Mar.,27,Janv.,2026,Dossier Biens - V. LESPINASSE ,,,,,Dossiers personnes - P.RAMON ,,,
Lun.,2,Fév.,2026,Dossiers personnes - P.RAMON ,,,,,Déontologie - J. PIERONNE,,,
Mar.,3,Fév.,2026,,Travail sur les fiches / dossiers - en Autonomie - au CFA obligatoire (9h30-12h30),,,,Dossiers personnes - P.RAMON ,,,
Lun.,9,Fév.,2026,Dossiers personnes - P.RAMON ,,,,,Déontologie - J. PIERONNE,,,
Mar.,10,Fév.,2026,Dossier Biens - V. LESPINASSE ,,,,,Dossiers personnes - P.RAMON ,,,
Lun.,16,Fév.,2026,Dossiers personnes - P.RAMON ,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h -17h),,
Mar.,17,Fév.,2026,Dossier Biens - V. LESPINASSE ,,,,,Dossiers personnes - P.RAMON ,,,
Lun.,23,Fév.,2026,Dossiers personnes - P.RAMON ,,,,,E2 - Anglais - J. CERNIS,,,CONSEIL DE CLASSE
Mar.,24,Fév.,2026,Dossier Biens - V. LESPINASSE ,,,,,Dossiers personnes - P.RAMON ,,,
Lun.,2,Mars,2026,Dossier Biens - V. LESPINASSE ,,,,,Déontologie - J. PIERONNE,,,
Mar.,3,Mars,2026,,Travail sur les fiches / dossiers - en Autonomie - au CFA obligatoire (9h30-12h30),,,,Dossiers personnes - P.RAMON ,,,
Lun.,9,Mars,2026,Environnement de l'activité notariale - P.RAMON,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h -17h),,
Mar.,10,Mars,2026,Dossier Biens - V. LESPINASSE ,,,,,Dossiers personnes - P.RAMON ,,,
Lun.,16,Mars,2026,Environnement de l'activité notariale - P.RAMON,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h -17h),,
Mar.,17,Mars,2026,Dossier Biens - Mme LESPINASSE ,,,,,Dossiers personnes - P.RAMON ,,,
Mer.,18,Mars,2026,MASTERCLASS,,,,,,,,
Lun.,23,Mars,2026,Environnement de l'activité notariale - P.RAMON,,,,,Déontologie - J. PIERONNE,,,
Mar.,24,Mars,2026,Dossier Biens - V. LESPINASSE ,,,,,Dossiers personnes - P.RAMON ,,,
Lun.,30,Mars,2026,Dossier Biens - V. LESPINASSE ,,,,,Travail sur les fiches / dossiers - en Autonomie - au CFA obligatoire,,,
Mar.,31,Mars,2026,E1 - Culture générale et expression - L. GIRAUD,,,,,Dossiers personnes - P.RAMON ,,,
Lun.,6,Avr.,2026,FÉRIÉ / ENTREPRISE,,,,,,,,
