c,,,,,,,,,,,,,
,,,,Emploi  du  temps CJN 2,,,,,,,,,
Version du 06/11/2025,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,08h30-09h30,09h30-10h30,10h30-11h30,11h30-12h30,12h30-13h30,13h30-14h30,14h30-15h30,15h30-16h30,16h30-17h30,17h30-18h30
Jeu.,4,Sept.,2025,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,Conduite de dossier droit des biens - V. LESPINASSE ,,,,
Ven.,5,Sept.,2025,,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Jeu.,11,Sept.,2025,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,Environnement de l'activité notariale - P.RAMON (fin 17h),,,,
Ven.,12,Sept.,2025,Conduite de dossier droit des personnes - P.RAMON  ,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Jeu.,18,Sept.,2025,E2 - Anglais - J. CERNIS,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h),,,
Ven.,19,Sept.,2025,Conduite de dossier droit des personnes - P.RAMON  ,,,,,Environnement de l'activité notariale - P.RAMON,,,,
Jeu.,25,Sept.,2025,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Ven.,26,Sept.,2025,Fondamentaux du droit - A-S. GUILLON VIRELY ,,,,,,,,,
Jeu.,2,Oct.,2025,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,Fondamentaux du droit - A-S. GUILLON VIRELY ,,,,
Ven.,3,Oct.,2025,E2 - Anglais - J. CERNIS,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Jeu.,9,Oct.,2025,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,Conduite de dossier droit des biens - V. LESPINASSE ,,,,
Ven.,10,Oct.,2025,Conduite de dossier droit des personnes - P.RAMON  ,,,,,,,,,
Jeu.,16,Oct.,2025,Fondamentaux du droit - A-S. GUILLON VIRELY ,,,,,,,,,
Ven.,17,Oct.,2025,,,,,,,,,,
Jeu.,23,Oct.,2025,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,Conduite de dossier droit des biens - V. LESPINASSE ,,,,
Ven.,24,Oct.,2025,Conduite de dossier droit des personnes - P.RAMON  ,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Jeu.,30,Oct.,2025,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,E2 - Anglais - J. CERNIS,,,,
Ven.,31,Oct.,2025,Conduite de dossier droit des personnes - P.RAMON  ,,,,,Environnement de l'activité notariale - P.RAMON,,,,
Jeu.,6,Nov.,2025,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,Conduite de dossier droit des biens - V. LESPINASSE ,,,,
Ven.,7,Nov.,2025,Conduite de dossier droit des personnes - P.RAMON  ,,,,,Déontologie - V. GAYRAUD-JUSTY,,,,
Jeu.,13,Nov.,2025,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Ven.,14,Nov.,2025,Conduite de dossier droit des personnes - P.RAMON  ,,,,,Déontologie - V. GAYRAUD-JUSTY,,,,
Mer.,19,Nov.,2025,MASTERCLASS,,,,,Engagement étudiant - S. CHECCHI (13h30-15h),,MASTERCLASS,,
Jeu.,20,Nov.,2025,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Ven.,21,Nov.,2025,Fondamentaux du droit - A-S. GUILLON VIRELY ,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Jeu.,27,Nov.,2025,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,E2 - Anglais - J. CERNIS,,,,
Ven.,28,Nov.,2025,Conduite de dossier droit des personnes - P.RAMON  ,,,,,Environnement de l'activité notariale - P.RAMON,,,,
Mer.,3,Déc.,2025,ATELIERS,,,,,,Engagement étudiant - S. CHECCHI (15h-16H30),,,
Jeu.,4,Déc.,2025,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h30),,,
Ven.,5,Déc.,2025,Conduite de dossier droit des personnes - P.RAMON  ,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,,
Jeu.,11,Déc.,2025,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Ven.,12,Déc.,2025,,,,,,,,,,
Jeu.,18,Déc.,2025,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h30),,,
Ven.,19,Déc.,2025,E1 - Culture générale et expression - L. GIRAUD,,,,,Environnement de l'activité notariale - P.RAMON,,,,
Jeu.,8,Janv.,2026,E2 - Anglais - J. CERNIS,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h30),,,
Ven.,9,Janv.,2026,E1 - Culture générale et expression - L. GIRAUD,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Jeu.,15,Janv.,2026,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Ven.,16,Janv.,2026,Déontologie - V. GAYRAUD-JUSTY,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Lun.,19,Janv.,2026,ÉCRIT E8 - CDDB - V. LESPINASSE (4H),,,,,ÉCRIT E1 - CULTURE GÉNÉRALE ET EXP. - L. GIRAUD  (3H),,,,
Mar.,20,Janv.,2026,ÉCRIT E7 - CDDP - P. RAMON (4H),,,,,ÉCRIT E4 - EFD - AS GUILLON-VIRELY (3H),,,,
Mer.,21,Janv.,2026,BTS BLANC S3,,,,,BTS BLANC S3,,,,
Jeu.,22,Janv.,2026,BTS BLANC S3,,,,,BTS BLANC S3,,,,
Ven.,23,Janv.,2026,Déontologie - V. GAYRAUD-JUSTY,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Jeu.,29,Janv.,2026,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,E2 - Anglais - J. CERNIS,,,,
Ven.,30,Janv.,2026,Déontologie - V. GAYRAUD-JUSTY,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Jeu.,5,Fév.,2026,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,Conduite de dossier droit des biens - V. LESPINASSE ,,,,
Ven.,6,Fév.,2026,Déontologie - V. GAYRAUD-JUSTY,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Jeu.,12,Fév.,2026,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,Environnement de l'activité notariale - P.RAMON,,,,
Ven.,13,Fév.,2026,Fondamentaux du droit - A-S. GUILLON VIRELY ,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Jeu.,19,Fév.,2026,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,Conduite de dossier droit des biens - V. LESPINASSE ,,,,
Ven.,20,Fév.,2026,Fondamentaux du droit - A-S. GUILLON VIRELY ,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Jeu.,26,Fév.,2026,E2 - Anglais - J. CERNIS,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h30),,,CONSEIL DE CLASSE
Ven.,27,Fév.,2026,Déontologie - V. GAYRAUD-JUSTY,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Jeu.,5,Mars,2026,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,Environnement de l'activité notariale - P.RAMON,,,,
Ven.,6,Mars,2026,Conduite de dossier droit des personnes - P.RAMON  ,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Jeu.,12,Mars,2026,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h30),,,
Ven.,13,Mars,2026,Déontologie - V. GAYRAUD-JUSTY,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Mer.,18,Mars,2026,MASTERCLASS,,,,,Engagement étudiant - S. CHECCHI (13h30-15h),,MASTERCLASS,,
Jeu.,19,Mars,2026,E2 - Anglais - J. CERNIS,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h30),,,
Ven.,20,Mars,2026,Déontologie - V. GAYRAUD-JUSTY,,,,,Fondamentaux du droit - A-S. GUILLON VIRELY ,,,,
Jeu.,26,Mars,2026,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h30),,,
Ven.,27,Mars,2026,E1 - Culture générale et expression - L. GIRAUD,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Jeu.,2,Avr.,2026,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,Environnement de l'activité notariale - P.RAMON,,,,
Ven.,3,Avr.,2026,Conduite de dossier droit des personnes - P.RAMON  ,,,,,Fondamentaux du droit - A-S. GUILLON VIRELY ,,,,
Jeu.,9,Avr.,2026,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,Conduite de dossier droit des biens - V. LESPINASSE ,,,,
Ven.,10,Avr.,2026,Conduite de dossier droit des personnes - P.RAMON  ,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Lun.,13,Avr.,2026,BTS BLANC S4,,,,,BTS BLANC S4,,,,
Mar.,14,Avr.,2026,BTS BLANC S4,,,,,BTS BLANC S4,,,,
Mer.,15,Avr.,2026,BTS BLANC S4,,,,,BTS BLANC S4,,,,
Jeu.,16,Avr.,2026,BTS BLANC S4,,,,,BTS BLANC S4,,,,
Ven.,17,Avr.,2026,Déontologie - V. GAYRAUD-JUSTY,,,,,Fondamentaux du droit - A-S. GUILLON VIRELY ,,,,
Jeu.,23,Avr.,2026,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,Conduite de dossier droit des biens - V. LESPINASSE ,,,CONSEIL DE CLASSE,
Ven.,24,Avr.,2026,E2 - Anglais - J. CERNIS,,,,,Conduite de dossier droit des personnes - P.RAMON  ,,,,
Jeu.,30,Avr.,2026,Conduite de dossier droit des biens - V. LESPINASSE ,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h30),,,
Ven.,1,Mai,2026,FÉRIÉ / OFFICE,,,,,,,,,
