Année scolaire 2025-2026,,,,,,,,,,,,,
,,,,Emploi  du  temps  SIO 2 (SISR),,,,,,,,,
Version du 09/12/2025,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,08h30-09h30,09h30-10h30,10h30-11h30,11h30-12h30,12h30-13h30,13h30-14h30,14h30-15h30,15h30-16h30,16h30-17h30,
Lun.,1,Sept.,2025,E3 - Mathématique pour l'informatique - G. ANKRI,,,,,E2 - Anglais - J. CERNIS,,,,
Mar.,2,Sept.,2025,,,,,,E1 - Culture générale et expression - L. GIRAUD ,,,,
Lun.,8,Sept.,2025,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,,,,,
Mar.,9,Sept.,2025,,E4 - CEJM - E. TABONI (9h-12h30),,,,E4 - CEJM - E. TABONI,,,,
Lun.,15,Sept.,2025,E7 - Cybersécurité - A.BRES,,,,,E3 - Mathématique pour l'informatique - G. ANKRI,,,,
Mar.,16,Sept.,2025,,,,,,E1 - Culture générale et expression - L. GIRAUD ,,,,
Lun.,22,Sept.,2025,E7 - Cybersécurité - A.BRES,,,,,E2 - Anglais - J. CERNIS,,,,
Mar.,23,Sept.,2025,E7 - Cybersécurité - C.TIXIER,,,,,E3 - Mathématique pour l'informatique - G. ANKRI,,,,
Lun.,29,Sept.,2025,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h),,,
Mar.,30,Sept.,2025,E7 - Cybersécurité - C.TIXIER,,,,,E4 - CEJM - E. TABONI,,,,
Lun.,6,Oct.,2025,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,,,,,
Mar.,7,Oct.,2025,,,,,,E4 - CEJM - E. TABONI,,,,
Lun.,13,Oct.,2025,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,,,,,
Mar.,14,Oct.,2025,E4 - CEJM - E. TABONI,,,,,E4 - CEJM - E. TABONI,,,,
Lun.,20,Oct.,2025,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,,,,,
Mar.,21,Oct.,2025,E4 - CEJM - E. TABONI,,,,,,,,,
Lun.,27,Oct.,2025,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,,,,,
Mar.,28,Oct.,2025,ENTREPRISE,,,,,,,,,
Lun.,3,Nov.,2024,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,E2 - Anglais - J. CERNIS,,,,
Mar.,4,Nov.,2025,ENTREPRISE,,,,,,,,,
Lun.,10,Nov.,2025,E3 - Mathématique pour l'informatique - G. ANKRI,,,,,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,
Mar.,11,Nov.,2025,FÉRIÉ / ENTREPRISE,,,,,,,,,
Lun.,17,Nov.,2025,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,
Mar.,18,Nov.,2025,E4 - CEJM - E. TABONI,,,,,E7 - Cybersécurité - C.TIXIER,,,,
Mer.,19,Nov.,2025,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,
Lun.,24,Nov.,2025,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,
Mar.,25,Nov.,2025,E4 - CEJM - E. TABONI,,,,,E1 - Culture générale et expression - L. GIRAUD ,,,,
Lun.,1,Déc.,2025,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,E2 - Anglais - J. CERNIS,,,,
Mar.,2,Déc.,2025,E3 - Mathématique pour l'informatique - G. ANKRI,,,,,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,
Mer.,3,Déc.,2025,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,
Lun.,8,Déc.,2025,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,
Mar.,9,Déc.,2025,,Préparation épreuve E5 - autonomie au CFA obligatoire,,,,E7 - Cybersécurité - C.TIXIER,,,,
Lun.,15,Déc.,2025,E5 : Support et mise à disposition de services informatiques - A. BRES,,,,,E6 - Administrateur des systèmes et réseaux - M. ROME ,,,,
