formation;intitule;cles

MCO;Culture Générale et expression;culture generale expression cg cultureg
MCO;Communication en langue vivante étrangère 1;anglais lv1 oral ecrit
MCO;Culture Économique, Juridique et Managériale;cejm eco droit management
MCO;Développement de la Relation Client et Vente Conseil;drcvc relation client vente
MCO;Animation et Dynamisation de l'Offre Commerciale;adoc animation offre
MCO;Gestion Opérationnelle;go gestion operationnelle
MCO;Management de l'Équipe Commerciale;mec management equipe
MCO;Entrepreneuriat;entreprenariat entrepreneur
MCO;Engagement étudiant;engagement citoyen

NDRC;Culture Générale et expression;culture generale expression
NDRC;Communication en langue vivante étrangère 1;anglais lv1
NDRC;Culture Économique, Juridique et Managériale;cejm
NDRC;Relation Client et Négociation-Vente;rcnv negociation vente
NDRC;Relation Client à Distance et Digitalisation;rcdd digital distance
NDRC;Relation Client et Animation de Réseaux;rcar
NDRC;Engagement étudiant;engagement citoyen

CJN;Culture Générale et expression;culture generale
CJN;Langue vivante étrangère anglaise;anglais
CJN;Éléments Fondamentaux du Droit;efd
CJN;Environnement de l'Activité Notariale;ean
CJN;Accompagnement du Client selon les Règles Déontologiques;acrd deontologie
CJN;Conduite d'un Dossier en Droit des Personnes;cddp personnes
CJN;Conduite d'un Dossier en Droit des Biens;cddb biens
CJN;Engagement étudiant;engagement citoyen

SP3S;Culture Générale et expression;culture generale
SP3S;Langue vivante étrangère 1;anglais
SP3S;BC1 : Accompagnement et Coordination du Parcours de la Personne;bloc1 bc1 accompagnement
SP3S;BC2 : Projet et Démarche Qualité;bloc2 bc2 qualite
SP3S;BC3 : Politique de la Structure et Territoire;bloc3 bc3 territoire
SP3S;BC4 : Gestion de la Structure et du Service;bloc4 bc4 gestion
SP3S;Engagement étudiant;engagement citoyen

ASSU;Culture Générale et expression;culture generale
ASSU;Langue vivante étrangère;anglais
ASSU;Culture professionnelle : Biens et responsabilités;biens responsabilites
ASSU;Culture professionnelle : Personnes et produits bancaires;personnes produits
ASSU;Développement Commercial et conduite d'entretien;developpement commercial entretien
ASSU;Gestion des sinistres : Biens;sinistres biens
ASSU;Gestion des sinistres : Personnes;sinistres personnes
ASSU;Accueil en situation de sinistres;accueil sinistres
ASSU;Communication digitale;communication digitale
ASSU;Engagement étudiant;engagement citoyen

SIO;Culture Générale et expression;culture generale
SIO;Expression et communication en langue anglaise;anglais
SIO;Mathématiques pour l'informatique;maths mathematiques
SIO;Culture Économique, Juridique et Managériale;cejm
SIO;Support et mise à disposition de services informatiques;sm dsi support
SIO;Conception et développement d'applications;cda dev applications
SIO;Cybersécurité des services informatiques;cybersecurite
SIO;Administration des systèmes et des réseaux;asr admin systemes
SIO;Engagement étudiant;engagement citoyen
